,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,52.4
111,246.0
112,224.4
113,273.0
114,302.8
115,309.4
116,398.6
117,402.6
118,337.8
119,356.2
120,349.0
121,393.2
122,477.0
123,506.0
124,519.6
125,526.8
126,498.8
127,444.8
128,399.4
129,258.4
130,347.4
131,585.0
132,586.6
133,423.6
134,357.6
135,440.0
136,438.2
137,355.6
138,318.6
139,389.0
140,452.0
141,626.6
142,461.6
143,377.4
144,332.0
145,346.0
146,327.0
147,364.2
148,522.8
149,381.8
150,340.2
151,437.2
152,473.4
153,421.6
154,323.0
155,430.2
156,544.6
157,532.2
158,520.6
159,511.4
160,502.0
161,484.6
162,478.2
163,468.4
164,458.4
165,433.8
166,425.8
167,419.6
168,417.6
169,409.2
170,369.0
171,378.2
172,368.0
173,362.0
174,279.2
175,244.6
176,269.8
177,305.0
178,308.8
179,303.8
180,233.4
181,276.8
182,260.6
183,236.0
184,235.6
185,210.4
186,206.4
187,195.4
188,156.6
189,169.2
190,160.0
191,141.4
192,145.0
193,115.0
194,83.6
195,83.8
196,77.47710886108197
197,69.71339215602411
198,89.0
199,83.2
200,73.8
201,63.4
202,54.6
203,43.0
204,35.2
205,26.4
206,21.0
207,15.2
208,8.4
209,5.4
210,2.4
211,2.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,2.0
222,2.0
223,2.0
224,2.0
225,2.0
226,2.0
227,1.6
228,2.0
229,1.8
230,1.6
231,2.0
232,1.6
233,1.8
234,1.2
235,1.4
236,1.0
237,1.6
238,1.6
239,1.0
240,1.4
241,2.0
242,2.0
243,2.0
244,1.2
245,2.0
246,2.0
247,1.4
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.4
254,1.2
255,1.0
256,1.0
257,1.0
258,1.0
259,1.8
260,1.6
261,1.2
262,1.4
263,1.0
264,1.6
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.6
278,1.0
279,1.2
280,1.4
281,1.0
282,1.6
283,0.4
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,1.2
296,1.0
297,1.0
298,1.0
299,1.0
300,1.6
301,1.6
302,1.0
303,1.4
304,1.2
305,1.0
306,1.4
307,1.8
308,1.6
309,2.0
310,2.0
311,2.0
312,2.0
313,1.4
314,2.0
315,1.0
316,1.6
317,1.0
318,1.4
319,1.8
320,1.0
321,1.0
322,1.2
323,1.4
324,1.4
325,2.0
326,2.0
327,1.0
328,1.0
329,1.0
330,1.4
331,1.8
332,1.0
333,1.4
334,2.0
335,2.0
336,2.0
337,2.0
338,2.0
339,2.0
340,1.4
341,1.8
342,2.0
343,1.0
344,1.2
345,2.0
346,1.2
347,2.0
348,1.0
349,1.8
350,1.4
351,2.0
352,2.0
353,2.0
354,1.8
355,1.6
356,2.0
357,2.0
358,2.0
359,2.0
360,1.6
361,1.8
362,1.4
363,1.2
364,2.0
365,1.4
366,3.2
367,6.6
368,11.6
369,17.4
370,22.8
371,30.0
372,37.8
373,45.4
374,53.0
375,61.4
376,69.8
377,76.8
378,82.2
379,86.8
380,96.0
381,104.4
382,115.0
383,125.0
384,134.8
385,144.6
386,156.4
387,169.2
388,180.6
389,189.0
390,198.8
391,211.2
392,223.2
393,233.8
394,245.6
395,256.4
396,269.4
397,280.6
398,289.2
399,300.8
400,312.4
401,321.4
402,333.6
403,343.2
404,354.6
405,367.2
406,379.6
407,392.0
408,402.2
409,409.0
410,420.4
411,431.0
412,441.4
413,449.2
414,457.4
415,463.2
416,470.6
417,479.0
418,485.4
419,496.4
420,503.0
421,511.4
422,519.8
423,527.0
424,533.4
425,538.0
426,541.0
427,543.8
428,551.0
429,559.2
430,565.2
431,570.6
432,568.8
433,570.6
434,564.6
435,560.4
436,557.8
437,555.8
438,550.0
439,552.6
440,560.6
441,555.2
442,553.6
443,543.2
444,537.2
445,525.4
446,509.2
447,509.0
448,494.2
449,497.8
450,493.0
451,483.4
452,472.0
453,467.0
454,453.8
455,434.4
456,423.2
457,413.2
458,406.0
459,399.6
460,387.8
461,370.8
462,356.4
463,347.6
464,326.6
465,321.8
466,303.8
467,295.4
468,279.6
469,265.6
470,254.8
471,242.2
472,228.0
473,215.6
474,195.8
475,185.0
476,174.0
477,160.6
478,154.6
479,146.0
480,135.4
481,122.8
482,111.4
483,101.2
484,92.0
485,83.8
486,77.0
487,68.2
488,58.8
489,51.4
490,42.8
491,34.2
492,28.2
493,22.0
494,17.0
495,11.4
496,7.8
497,3.6
498,2.0
499,1.6
500,2.0
501,2.0
502,2.0
503,2.0
504,2.0
505,2.0
506,2.0
507,2.0
508,2.0
509,2.0
510,2.0
511,2.0
512,2.0
513,2.0
514,2.0
515,2.0
516,2.0
517,2.0
518,2.0
519,2.0
520,2.0
521,2.0
522,2.0
523,2.0
524,2.0
525,1.2
526,1.6
527,2.0
528,1.4
529,2.0
530,2.0
531,2.0
532,2.0
533,2.0
534,2.0
535,2.0
536,2.0
537,2.0
538,2.0
539,2.0
540,2.0
541,2.0
542,2.0
543,2.0
544,1.4
545,2.0
546,2.0
547,2.0
548,2.0
549,2.0
550,2.0
551,2.0
552,2.0
553,2.0
554,2.0
555,2.0
556,2.0
557,2.0
558,2.0
559,2.0
560,2.0
561,2.0
562,1.8
563,1.6
564,2.0
565,2.0
566,2.0
567,1.0
568,1.6
569,1.6
570,1.4
